portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
MultiCriteria_Recommended_Portfolio,AMEN BANK,Actions cotées,AMEN_BANK,0.02128481868668142,Actions cotées
Current_Portfolio,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033921010505616,Obligations corporate
Minimum_Variance,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.1097354423141644,Obligations corporate
Mean_Variance_lambda_2,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033918475133003,Obligations corporate
Mean_Variance_lambda_5,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033921056710475,Obligations corporate
Mean_Variance_lambda_10,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033938639443616,Obligations corporate
Mean_Variance_lambda_20,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.01903393100181317,Obligations corporate
Max_Sharpe,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033937906005303,Obligations corporate
Max_Return,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033920601099708,Obligations corporate
Mean_CVaR_95,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033926921616928,Obligations corporate
Risk_Parity,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019049605221496718,Obligations corporate
MeanVariance_TurnoverPenalty,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033921035912487,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO BNA SUB 2021-1,Obligations corporate,TN0003100872,0.019033926921616928,Obligations corporate
Current_Portfolio,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268993644244212,Actions cotées
Minimum_Variance,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.01626842213958029,Actions cotées
Mean_Variance_lambda_2,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.01626909136117768,Actions cotées
Mean_Variance_lambda_5,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016269027450550096,Actions cotées
Mean_Variance_lambda_10,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.01626901041678717,Actions cotées
Mean_Variance_lambda_20,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268998966051752,Actions cotées
Max_Sharpe,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268982694385578,Actions cotées
Max_Return,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268994847226482,Actions cotées
Mean_CVaR_95,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268993275590237,Actions cotées
Risk_Parity,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016005119265662216,Actions cotées
MeanVariance_TurnoverPenalty,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268993774870042,Actions cotées
MultiCriteria_Recommended_Portfolio,ATTIJARI BANK,Actions cotées,ATTIJARI_BANK,0.016268993275590237,Actions cotées
Current_Portfolio,E.O HL 2020-03,Obligations corporate,TN0007310568,0.00997065925830081,Obligations corporate
Minimum_Variance,E.O HL 2020-03,Obligations corporate,TN0007310568,0.05736902467597536,Obligations corporate
Mean_Variance_lambda_2,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009970657554507998,Obligations corporate
Mean_Variance_lambda_5,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009970659353312502,Obligations corporate
Mean_Variance_lambda_10,E.O HL 2020-03,Obligations corporate,TN0007310568,0.00997069292592211,Obligations corporate
Mean_Variance_lambda_20,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009970675210214714,Obligations corporate
Max_Sharpe,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009983412186664535,Obligations corporate
Max_Return,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009970658998411252,Obligations corporate
Mean_CVaR_95,E.O HL 2020-03,Obligations corporate,TN0007310568,0.00997066823629241,Obligations corporate
Risk_Parity,E.O HL 2020-03,Obligations corporate,TN0007310568,0.0100226212198626,Obligations corporate
MeanVariance_TurnoverPenalty,E.O HL 2020-03,Obligations corporate,TN0007310568,0.009970659287524317,Obligations corporate
MultiCriteria_Recommended_Portfolio,E.O HL 2020-03,Obligations corporate,TN0007310568,0.00997066823629241,Obligations corporate
Current_Portfolio,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.00978296471188841,Obligations corporate
Minimum_Variance,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.00978506270132461,Obligations corporate
Mean_Variance_lambda_2,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782963510743948,Obligations corporate
Mean_Variance_lambda_5,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782964870472356,Obligations corporate
Mean_Variance_lambda_10,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009783045878976021,Obligations corporate
Mean_Variance_lambda_20,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782979213093712,Obligations corporate
Max_Sharpe,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009783377183219966,Obligations corporate
Max_Return,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782964535321815,Obligations corporate
Mean_CVaR_95,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782982743794974,Obligations corporate
Risk_Parity,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009800196491600192,Obligations corporate
MeanVariance_TurnoverPenalty,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782964743009152,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO BH LEASING 2023-1,Obligations corporate,TNYGOCQ2WZX6,0.009782982743794974,Obligations corporate
Current_Portfolio,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434788786385707,Obligations corporate
Minimum_Variance,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.00843557982856497,Obligations corporate
Mean_Variance_lambda_2,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434787497360048,Obligations corporate
Mean_Variance_lambda_5,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434788925593831,Obligations corporate
Mean_Variance_lambda_10,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434851124838626,Obligations corporate
