requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-07-30,Current_Portfolio,546511596.0302837,122187812.76879312,59073857.916729674,187082244.21400577,OK,STATE_MIN_20_PT,69955003.90167911
2025-07-31,Current_Portfolio,546532111.4148841,122218338.48271684,59013580.176226676,187132511.62518552,OK,STATE_MIN_20_PT,69985529.61560284
2025-08-01,Current_Portfolio,546648648.282194,122248866.45287982,59023565.45440025,187208535.24415883,OK,STATE_MIN_20_PT,70016057.58576581
2025-08-04,Current_Portfolio,546945952.8498073,122315387.67584987,59116004.36534475,187346879.67785755,OK,STATE_MIN_20_PT,70082578.80873586
2025-08-05,Current_Portfolio,546804116.1518763,122335784.31805529,58922384.40397492,187378266.29909098,OK,STATE_MIN_20_PT,70102975.45094128
2025-08-06,Current_Portfolio,546526046.5535238,122366342.21768554,58563505.372665994,187428517.83241716,OK,STATE_MIN_20_PT,70133533.35057153
2025-08-07,Current_Portfolio,546671675.6312435,122392293.38455237,58649444.0363109,187462257.07962492,OK,STATE_MIN_20_PT,70159484.51743837
2025-08-08,Current_Portfolio,546637789.0188639,122422835.78507113,58559271.65116154,187488000.45187607,OK,STATE_MIN_20_PT,70190026.91795713
2025-08-11,Current_Portfolio,546826890.4500482,122453870.95568688,58640166.50201556,187565171.8615905,OK,STATE_MIN_20_PT,70221062.08857287
2025-08-12,Current_Portfolio,546819965.7233143,122480143.93971117,58564574.27918896,187607566.37365904,OK,STATE_MIN_20_PT,70247335.07259716
2025-08-14,Current_Portfolio,547287160.3656795,122550439.83122274,58822062.76849751,187746976.63520408,OK,STATE_MIN_20_PT,70317630.96410874
2025-08-15,Current_Portfolio,547340458.502101,122636282.73588115,58701911.64550941,187834582.9899552,OK,STATE_MIN_20_PT,70403473.86876714
2025-08-18,Current_Portfolio,547599625.3465612,122702456.00343207,58753762.055117644,187975726.15725648,OK,STATE_MIN_20_PT,70469647.13631806
2025-08-19,Current_Portfolio,547775928.826113,122739411.72469455,58830636.58892851,188038199.38173488,OK,STATE_MIN_20_PT,70506602.85758054
2025-08-20,Current_Portfolio,547800867.9602176,122777582.19993743,58767853.30441569,188087751.32510933,OK,STATE_MIN_20_PT,70544773.33282343
2025-08-21,Current_Portfolio,548042568.7611002,122808103.58113725,58928749.64089075,188138034.408317,OK,STATE_MIN_20_PT,70575294.71402325
2025-08-22,Current_Portfolio,548363649.7510843,122838629.82526273,59169028.8608598,188188309.93420672,OK,STATE_MIN_20_PT,70605820.95814872
2025-08-25,Current_Portfolio,548566198.8747873,122871015.25139536,59263608.720298216,188263893.77233857,OK,STATE_MIN_20_PT,70638206.38428135
2025-08-26,Current_Portfolio,549078384.7055752,122906556.92636195,59686548.75285274,188317597.89560533,OK,STATE_MIN_20_PT,70673748.05924794
2025-08-27,Current_Portfolio,549595981.2216289,122893847.65301321,60220130.41984845,188314322.018012,OK,STATE_MIN_20_PT,70661038.7858992
2025-08-28,Current_Portfolio,549739674.117596,122924937.22839636,60282363.30404917,188364692.4543954,OK,STATE_MIN_20_PT,70692128.36128235
2025-08-29,Current_Portfolio,549764376.1052794,122956029.19138898,60225612.97685599,188415052.8062793,OK,STATE_MIN_20_PT,70723220.32427497
2025-09-01,Current_Portfolio,550190887.2404747,123066629.79295178,60371721.67320952,188584854.6435582,OK,STATE_MIN_20_PT,70833820.92583777
2025-09-02,Current_Portfolio,550175610.3598454,123151888.4732329,60173735.10621214,188682305.64964524,OK,STATE_MIN_20_PT,70919079.60611889
2025-09-03,Current_Portfolio,550448954.6676288,123182969.75251606,60367412.75580899,188730891.02854863,OK,STATE_MIN_20_PT,70950160.88540205
